player_id,season,player_name,leaf_rating,leaf_uncertainty,games_played,attempts,raw_epa
00-0027688,2021,C.McCoy,-0.0855660213752462,0.0884968730751219,41,105.0,0.04747863
00-0027688,2022,C.McCoy,-0.1265885537507619,0.08817558232628336,45,145.0,-0.21033971
00-0027690,2011,E.Decker,-0.7822728158440436,0.14916330304908842,1,1.0,-0.61063635
00-0027690,2017,E.Decker,-0.8160116229210096,0.10624169930569174,2,1.0,-0.83500266
00-0027692,2010,A.Edwards,-1.3514393723786289,0.14916330304908842,1,1.0,-1.4413493
00-0027692,2011,A.Edwards,-0.3700766188991613,0.10624169930569174,2,1.0,0.69020545
00-0027692,2012,A.Edwards,-0.4636560507257454,0.08770330050745664,3,1.0,-0.544562
00-0027702,2012,M.Williams,2.1047771265183512,0.14916330304908842,1,1.0,2.276137
00-0027722,2011,M.Kafka,-0.3290043781501023,0.10624169930569174,2,17.0,-0.2598684
00-0027754,2010,J.Skelton,-0.34611852314475944,0.15085867252593593,5,135.0,-0.28646564
00-0027754,2011,J.Skelton,-0.30450977690470826,0.10232847104286662,13,298.0,-0.22678699
00-0027754,2012,J.Skelton,-0.3953400881035005,0.09108986885089373,20,216.0,-0.4760192
00-0027770,2013,S.Schillinger,-3.0499079070539725,0.14916330304908842,1,1.0,-3.0787754
00-0027775,2010,R.Smith,-0.5758330651194404,0.10624169930569174,2,41.0,-0.56862736
00-0027775,2012,R.Smith,-0.3784284672834456,0.08770330050745664,3,5.0,-0.08231591
00-0027793,2012,A.Brown,-1.334222013436611,0.7953922399610633,2,2.0,-1.6564718
00-0027793,2013,A.Brown,-1.061559123669892,0.6869728794492108,3,2.0,-0.1000424
00-0027793,2014,A.Brown,-0.39009930842783114,0.560002122129877,5,2.0,0.9941226
00-0027793,2015,A.Brown,-0.5665526763262763,0.5185390369071561,6,1.0,-1.4314061
00-0027793,2018,A.Brown,-0.5569079292384705,0.4853201064661334,7,1.0,-0.45709214
00-0027796,2010,J.Webb,-0.2770482433251153,0.40515086119078936,4,97.0,-0.36699104
00-0027796,2011,J.Webb,0.015693301273912868,0.27301269751095775,10,66.0,0.34469596
00-0027796,2012,J.Webb,-0.014357745535991982,0.2619223911471871,11,33.0,-0.3092003
00-0027796,2017,J.Webb,-0.12365376431186938,0.2437489503814939,13,7.0,-0.6867726
00-0027801,2010,T.Pike,-0.3066540444336812,0.10624169930569174,2,13.0,-0.3905782
00-0027804,2010,L.Brown,-0.6544875334179083,0.14916330304908842,1,3.0,-0.6623543
00-0027816,2015,M.Mariani,-1.4361122605415502,0.14916330304908842,1,1.0,-1.4659957
00-0027854,2010,S.Bradford,-0.14344876106894275,0.07680864229335446,16,624.0,-0.05668828
00-0027854,2011,S.Bradford,-0.1985042162064928,0.07125448993531772,26,393.0,-0.20135632
00-0027854,2012,S.Bradford,-0.09809611415177727,0.06981609472019129,42,591.0,0.016095499
00-0027854,2013,S.Bradford,-0.057857583071324846,0.06971914105059215,49,277.0,0.08077509
00-0027854,2015,S.Bradford,-0.08976709334343151,0.06967193277317982,63,560.0,0.013081591
