season,week,player_id,player_name,position,sacks,qb_hits,tfls,forced_fumbles,total_tackles,pressures,impact_plays,epa_against,raw_composite,career_game_number,smoothed_composite,composite_uncertainty
2024,1,00-0026190,Calais Campbell,DL,1.0,1.0,1.0,0.0,3.0,2.0,2.0,1.2264934132496517,1.0572198321678539,58,0.7687724205303486,0.8881720250800171
2024,2,00-0026190,Calais Campbell,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.29995718598365784,-0.7033909699495158,59,0.44162500042371206,0.9680175946407602
2024,3,00-0026190,Calais Campbell,DL,1.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0537673716122906,1.2335776764638156,60,0.6176144839881794,1.0040549818971547
2024,4,00-0026190,Calais Campbell,DL,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.3677412874996662,-0.2729422604558375,61,0.41971298522284234,1.0203946848053211
2024,5,00-0026190,Calais Campbell,DL,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.6467297673225403,0.5000858136545598,62,0.437573613763224,0.9264014670489039
2024,7,00-0026190,Calais Campbell,DL,0.0,0.0,3.0,0.0,4.0,0.0,3.0,0.7611432884420667,0.36722406285989234,63,0.42194038022915026,0.8521089053658157
2024,8,00-0026190,Calais Campbell,DL,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.18886060118675232,-0.10821061069522178,64,0.3041290489126231,0.8832557135558099
2024,9,00-0026190,Calais Campbell,DL,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.19439198821783066,-0.6786546145518689,65,0.08573267925384712,0.7864768552078976
2024,10,00-0026190,Calais Campbell,DL,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.4785079836845398,0.8422810558690064,66,0.25385454072388247,0.797497529709749
2024,11,00-0026190,Calais Campbell,DL,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.6074996590614319,0.872506774126445,67,0.3913328148133408,0.7125532339882655
2024,12,00-0026190,Calais Campbell,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3394271731376648,-0.5535684993090869,68,0.18135474500835685,0.7071587954109534
2024,13,00-0026190,Calais Campbell,DL,0.0,1.0,0.0,0.0,2.0,1.0,0.0,-0.1574452519416809,-0.1791740226005437,69,0.10123724109526785,0.6543338894738296
2024,14,00-0026190,Calais Campbell,DL,0.0,1.0,0.0,0.0,3.0,1.0,0.0,-0.7690965086221695,-0.3224979890674892,70,0.007073856614655177,0.5600750648703823
2024,15,00-0026190,Calais Campbell,DL,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.5712001025676727,-0.2252671775230084,71,-0.04455748430482561,0.5572475921137612
2024,16,00-0026190,Calais Campbell,DL,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.5020784363150597,0.2096905711512151,72,0.011942083574294542,0.5385237033240811
2024,17,00-0026190,Calais Campbell,DL,0.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0464036583900451,0.48023082937052364,73,0.11600624930678989,0.5476709214850225
2024,18,00-0026190,Calais Campbell,DL,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.3437366783618927,0.8107010372982936,74,0.27038286886045737,0.5961525964172942
2020,1,00-0026564,Steve McLendon,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7106305360794067,-0.7922257931772478,1,-0.7922257931772478,
2020,2,00-0026564,Steve McLendon,DL,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.3121339622884989,-0.556842802103905,2,-0.7399184618276161,
2020,3,00-0026564,Steve McLendon,DL,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.420627698302269,-0.5318736326260879,3,-0.6936862775606099,0.14364995615192638
2020,4,00-0026564,Steve McLendon,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23450346291065216,-0.574708986519999,4,-0.6672468795515852,0.12016637379132444
2020,6,00-0026564,Steve McLendon,DL,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.6735716015100479,-0.4736601410492655,5,-0.6242276043288475,0.12150773602332202
2020,7,00-0026564,Steve McLendon,DL,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.4623900502920151,-0.23618199808082857,6,-0.5379952473848433,0.17941763055338228
2020,8,00-0026564,Steve McLendon,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1913648098707199,-0.5846370835546713,7,-0.5483600998670273,0.1651986939495591
2020,9,00-0026564,Steve McLendon,DL,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.5022507111231486,-0.5130885956709967,8,-0.5405219878234649,0.15315366728773186
